depth,latitude,longitude,time,dissic,ph,talk
0.49402538,-32.5,115.5,2022-02-15,2.1185791,8.028017,2.4242716
0.49402538,-32.5,115.5,2022-02-16,2.1185336,8.024851,2.4244518
0.49402538,-32.5,115.5,2022-02-17,2.118488,8.025466,2.4246323
0.49402538,-32.5,115.5,2022-02-18,2.1184425,8.024877,2.4248126
0.49402538,-32.5,115.5,2022-02-19,2.118397,8.023023,2.424993
0.49402538,-32.5,115.5,2022-02-20,2.1187103,8.024163,2.4252295
0.49402538,-32.5,115.5,2022-02-21,2.1190233,8.02515,2.425466
0.49402538,-32.5,115.5,2022-02-22,2.1193364,8.026082,2.4257028
0.49402538,-32.5,115.5,2022-02-23,2.1196496,8.028731,2.4259393
0.49402538,-32.5,115.5,2022-02-24,2.119963,8.030109,2.4261758
0.49402538,-32.5,115.5,2022-02-25,2.120276,8.029455,2.4264126
0.49402538,-32.5,115.5,2022-02-26,2.120589,8.029789,2.4266493
0.49402538,-32.5,115.5,2022-02-27,2.120655,8.031385,2.4266727
0.49402538,-32.5,115.5,2022-02-28,2.120721,8.030472,2.426696
0.49402538,-32.5,115.5,2022-03-01,2.1207874,8.030513,2.4267194
0.49402538,-32.5,115.5,2022-03-02,2.1208534,8.034232,2.4267428
0.49402538,-32.5,115.5,2022-03-03,2.1209195,8.038588,2.4267664
0.49402538,-32.5,115.5,2022-03-04,2.1209855,8.0416565,2.42679
0.49402538,-32.5,115.5,2022-03-05,2.1210515,8.042108,2.4268131
0.49402538,-32.5,115.5,2022-03-06,2.1209133,8.040216,2.4268777
0.49402538,-32.5,115.5,2022-03-07,2.1207747,8.038895,2.4269423
0.49402538,-32.5,115.5,2022-03-08,2.120636,8.038198,2.4270067
0.49402538,-32.5,115.5,2022-03-09,2.1204975,8.0366955,2.4270713
0.49402538,-32.5,115.5,2022-03-10,2.120359,8.034627,2.4271357
0.49402538,-32.5,115.5,2022-03-11,2.1202204,8.032832,2.4272006
0.49402538,-32.5,115.5,2022-03-12,2.120082,8.031488,2.4272652
0.49402538,-32.5,115.5,2022-03-13,2.1198883,8.028397,2.4271553
0.49402538,-32.5,115.5,2022-03-14,2.1196947,8.025811,2.4270456
0.49402538,-32.5,115.5,2022-03-15,2.119501,8.027721,2.4269361
0.49402538,-32.5,115.5,2022-03-16,2.1193075,8.030769,2.4268265
0.49402538,-32.5,115.5,2022-03-17,2.1191142,8.030092,2.4267168
0.49402538,-32.5,115.5,2022-03-18,2.1189206,8.028526,2.4266071
0.49402538,-32.5,115.5,2022-03-19,2.1187267,8.030848,2.4264975
0.49402538,-32.5,115.5,2022-03-20,2.118674,8.03383,2.4265187
0.49402538,-32.5,115.5,2022-03-21,2.1186209,8.0365,2.42654
0.49402538,-32.5,115.5,2022-03-22,2.118568,8.040018,2.426561
0.49402538,-32.5,115.5,2022-03-23,2.1185148,8.043108,2.4265823
0.49402538,-32.5,115.5,2022-03-24,2.1184618,8.045027,2.4266036
0.49402538,-32.5,115.5,2022-03-25,2.118409,8.043827,2.426625
0.49402538,-32.5,115.5,2022-03-26,2.1183558,8.041543,2.426646
0.49402538,-32.5,115.5,2022-03-27,2.1174185,8.043875,2.4260368
0.49402538,-32.5,115.5,2022-03-28,2.116481,8.048198,2.4254277
0.49402538,-32.5,115.5,2022-03-29,2.1155438,8.049751,2.4248183
0.49402538,-32.5,115.5,2022-03-30,2.1146064,8.049318,2.4242094
0.49402538,-32.5,115.5,2022-03-31,2.1136692,8.04839,2.4236
0.49402538,-32.5,115.5,2022-04-01,2.1127317,8.04862,2.4229908
0.49402538,-32.5,115.5,2022-04-02,2.1117945,8.046878,2.4223816
0.49402538,-32.5,115.5,2022-04-03,2.1119678,8.043818,2.422575
0.49402538,-32.5,115.5,2022-04-04,2.112141,8.045586,2.4227684
0.49402538,-32.5,115.5,2022-04-05,2.1123145,8.049744,2.422962
0.49402538,-32.5,115.5,2022-04-06,2.1124878,8.051524,2.4231553
0.49402538,-32.5,115.5,2022-04-07,2.112661,8.051693,2.423349
0.49402538,-32.5,115.5,2022-04-08,2.1128342,8.052029,2.4235425
0.49402538,-32.5,115.5,2022-04-09,2.1130075,8.054398,2.4237359
0.49402538,-32.5,115.5,2022-04-10,2.1133883,8.057583,2.4240668
0.49402538,-32.5,115.5,2022-04-11,2.1137688,8.059638,2.4243977
0.49402538,-32.5,115.5,2022-04-12,2.1141493,8.061201,2.4247289
0.49402538,-32.5,115.5,2022-04-13,2.11453,8.0632,2.4250598
0.49402538,-32.5,115.5,2022-04-14,2.1149106,8.064717,2.4253907
0.49402538,-32.5,115.5,2022-04-15,2.1152914,8.064815,2.425722
0.49402538,-32.5,115.5,2022-04-16,2.1156719,8.065221,2.4260528
0.49402538,-32.5,115.5,2022-04-17,2.1151044,8.06719,2.4257216
0.49402538,-32.5,115.5,2022-04-18,2.1145368,8.068982,2.4253907
0.49402538,-32.5,115.5,2022-04-19,2.1139696,8.069668,2.4250596
0.49402538,-32.5,115.5,2022-04-20,2.113402,8.070487,2.4247284
0.49402538,-32.5,115.5,2022-04-21,2.1128347,8.072052,2.4243972
0.49402538,-32.5,115.5,2022-04-22,2.112267,8.073633,2.4240663
0.49402538,-32.5,115.5,2022-04-23,2.1116996,8.075376,2.4237351
0.49402538,-32.5,115.5,2022-04-24,2.110897,8.076008,2.4231467
0.49402538,-32.5,115.5,2022-04-25,2.1100945,8.076929,2.4225583
0.49402538,-32.5,115.5,2022-04-26,2.109292,8.079416,2.4219697
0.49402538,-32.5,115.5,2022-04-27,2.1084898,8.082088,2.4213812
0.49402538,-32.5,115.5,2022-04-28,2.107687,8.084305,2.4207926
0.49402538,-32.5,115.5,2022-04-29,2.1068847,8.085165,2.4202042
0.49402538,-32.5,115.5,2022-04-30,2.1060822,8.085172,2.4196157
0.49402538,-32.5,115.5,2022-05-01,2.1062522,8.085341,2.419722
0.49402538,-32.5,115.5,2022-05-02,2.1064224,8.084796,2.4198284
0.49402538,-32.5,115.5,2022-05-03,2.1065924,8.086169,2.419935
0.49402538,-32.5,115.5,2022-05-04,2.1067622,8.089885,2.420041
0.49402538,-32.5,115.5,2022-05-05,2.1069324,8.093446,2.4201474
0.49402538,-32.5,115.5,2022-05-06,2.1071024,8.095988,2.420254
0.49402538,-32.5,115.5,2022-05-07,2.1072724,8.097603,2.42036
0.49402538,-32.5,115.5,2022-05-08,2.1069245,8.096954,2.419984
0.49402538,-32.5,115.5,2022-05-09,2.1065767,8.094731,2.419608
0.49402538,-32.5,115.5,2022-05-10,2.1062288,8.094914,2.419232
0.49402538,-32.5,115.5,2022-05-11,2.105881,8.096625,2.418856
0.49402538,-32.5,115.5,2022-05-12,2.1055331,8.099343,2.41848
0.49402538,-32.5,115.5,2022-05-13,2.1051855,8.102342,2.4181037
0.49402538,-32.5,115.5,2022-05-14,2.1048374,8.104447,2.4177277
0.49402538,-32.5,115.5,2022-05-15,2.1027343,8.106971,2.415941
0.49402538,-32.5,115.5,2022-05-16,2.100631,8.109832,2.4141543
0.49402538,-32.5,115.5,2022-05-17,2.0985277,8.109313,2.4123673
0.49402538,-32.5,115.5,2022-05-18,2.0964246,8.102004,2.4105806
0.49402538,-32.5,115.5,2022-05-19,2.094321,8.092643,2.408794
0.49402538,-32.5,115.5,2022-05-20,2.0922177,8.089089,2.4070072
0.49402538,-32.5,115.5,2022-05-21,2.0901146,8.088876,2.4052205
0.49402538,-32.5,115.5,2022-05-22,2.089668,8.088919,2.4047103
0.49402538,-32.5,115.5,2022-05-23,2.0892212,8.090489,2.4042
0.49402538,-32.5,115.5,2022-05-24,2.0887747,8.094055,2.4036899
0.49402538,-32.5,115.5,2022-05-25,2.088328,8.095998,2.40318
0.49402538,-32.5,115.5,2022-05-26,2.0878813,8.0966015,2.4026697
0.49402538,-32.5,115.5,2022-05-27,2.0874345,8.097468,2.4021597
