time,latitude,longitude,PP
2018-01-01,-32.187504,115.52084,540.0804
2018-02-01,-32.187504,115.52084,542.16187
2018-03-01,-32.187504,115.52084,686.549
2018-04-01,-32.187504,115.52084,808.59106
2018-05-01,-32.187504,115.52084,820.9693
2018-06-01,-32.187504,115.52084,466.77304
2018-07-01,-32.187504,115.52084,547.0106
2018-08-01,-32.187504,115.52084,692.2643
2018-09-01,-32.187504,115.52084,761.772
2018-10-01,-32.187504,115.52084,661.6512
2018-11-01,-32.187504,115.52084,548.54114
2018-12-01,-32.187504,115.52084,482.22113
2019-01-01,-32.187504,115.52084,563.99
2019-02-01,-32.187504,115.52084,538.24255
2019-03-01,-32.187504,115.52084,603.31506
2019-04-01,-32.187504,115.52084,627.62177
2019-05-01,-32.187504,115.52084,498.59518
2019-06-01,-32.187504,115.52084,385.2345
2019-07-01,-32.187504,115.52084,456.67255
2019-08-01,-32.187504,115.52084,508.31323
2019-09-01,-32.187504,115.52084,490.02905
2019-10-01,-32.187504,115.52084,506.71887
2019-11-01,-32.187504,115.52084,564.54114
2019-12-01,-32.187504,115.52084,555.0337
2020-01-01,-32.187504,115.52084,595.2909
2020-02-01,-32.187504,115.52084,633.5165
2020-03-01,-32.187504,115.52084,791.50867
2020-04-01,-32.187504,115.52084,693.6076
2020-05-01,-32.187504,115.52084,635.3898
2020-06-01,-32.187504,115.52084,552.4775
2020-07-01,-32.187504,115.52084,522.0006
2020-08-01,-32.187504,115.52084,515.3391
2020-09-01,-32.187504,115.52084,528.3931
2020-10-01,-32.187504,115.52084,499.29294
2020-11-01,-32.187504,115.52084,550.9215
2020-12-01,-32.187504,115.52084,550.9425
2021-01-01,-32.187504,115.52084,601.9353
2021-02-01,-32.187504,115.52084,653.0252
2021-03-01,-32.187504,115.52084,846.9577
2021-04-01,-32.187504,115.52084,852.4856
2021-05-01,-32.187504,115.52084,598.7063
2021-06-01,-32.187504,115.52084,457.95633
2021-07-01,-32.187504,115.52084,427.68494
2021-08-01,-32.187504,115.52084,673.62537
2021-09-01,-32.187504,115.52084,741.8186
2021-10-01,-32.187504,115.52084,669.29285
2021-11-01,-32.187504,115.52084,597.6111
2021-12-01,-32.187504,115.52084,509.94922
2022-01-01,-32.187504,115.52084,559.5631
2022-02-01,-32.187504,115.52084,651.7814
2022-03-01,-32.187504,115.52084,597.778
2022-04-01,-32.187504,115.52084,624.36804
2022-05-01,-32.187504,115.52084,498.1686
2022-06-01,-32.187504,115.52084,400.84015
2022-07-01,-32.187504,115.52084,391.10214
2022-08-01,-32.187504,115.52084,562.8648
2022-09-01,-32.187504,115.52084,672.82947
2022-10-01,-32.187504,115.52084,568.3453
2022-11-01,-32.187504,115.52084,511.30023
2022-12-01,-32.187504,115.52084,492.54517
2023-01-01,-32.187504,115.52084,557.60315
2023-02-01,-32.187504,115.52084,613.3402
2023-03-01,-32.187504,115.52084,604.1474
2023-04-01,-32.187504,115.52084,688.1095
2023-05-01,-32.187504,115.52084,527.3968
2023-06-01,-32.187504,115.52084,432.35867
2023-07-01,-32.187504,115.52084,396.47943
2023-08-01,-32.187504,115.52084,416.78543
2023-09-01,-32.187504,115.52084,552.56805
2023-10-01,-32.187504,115.52084,573.2588
2023-11-01,-32.187504,115.52084,493.7081
2023-12-01,-32.187504,115.52084,515.388
2024-01-01,-32.187504,115.52084,602.87897
2024-02-01,-32.187504,115.52084,556.3601
2024-03-01,-32.187504,115.52084,550.3683
2024-04-01,-32.187504,115.52084,540.1729
2024-05-01,-32.187504,115.52084,390.7632
2024-06-01,-32.187504,115.52084,552.2124
2024-07-01,-32.187504,115.52084,426.44614
2024-08-01,-32.187504,115.52084,554.2733
