time,spco2
2023-05-21,35.518623
2023-05-22,35.41582
2023-05-23,35.352585
2023-05-24,35.2505
2023-05-25,35.049202
2023-05-26,34.857365
2023-05-27,34.84557
2023-05-28,35.0279
2023-05-29,35.116077
2023-05-30,35.327072
2023-05-31,35.733017
2023-06-01,35.800503
2023-06-02,35.550186
2023-06-03,35.337097
2023-06-04,35.32166
2023-06-05,35.33044
2023-06-06,35.115704
2023-06-07,34.81631
2023-06-08,34.691326
2023-06-09,34.854164
2023-06-10,35.051033
2023-06-11,34.86663
2023-06-12,34.481037
2023-06-13,34.225697
2023-06-14,34.090607
2023-06-15,33.994694
2023-06-16,33.936436
2023-06-17,33.95599
2023-06-18,33.96909
2023-06-19,33.859978
2023-06-20,33.66541
2023-06-21,33.419804
2023-06-22,33.184887
2023-06-23,32.909565
2023-06-24,32.603672
2023-06-25,32.3822
2023-06-26,32.1442
2023-06-27,31.995684
2023-06-28,31.999786
2023-06-29,32.049778
2023-06-30,32.15362
2023-07-01,32.153584
2023-07-02,32.064285
2023-07-03,32.248234
2023-07-04,32.5228
2023-07-05,32.52938
2023-07-06,32.43898
2023-07-07,32.370316
2023-07-08,32.480236
2023-07-09,32.644928
2023-07-10,32.76334
2023-07-11,32.89909
2023-07-12,33.030373
2023-07-13,33.179073
2023-07-14,33.16075
2023-07-15,32.989933
2023-07-16,32.874416
2023-07-17,32.839188
2023-07-18,32.84582
2023-07-19,32.845974
2023-07-20,32.86755
2023-07-21,32.88487
2023-07-22,32.795437
2023-07-23,32.666325
2023-07-24,32.505245
2023-07-25,32.473663
2023-07-26,32.638855
2023-07-27,32.708492
2023-07-28,32.633373
2023-07-29,32.59311
2023-07-30,32.726833
2023-07-31,32.92646
2023-08-01,33.00533
2023-08-02,32.94263
2023-08-03,32.700348
2023-08-04,32.47582
2023-08-05,32.37134
2023-08-06,32.36493
2023-08-07,32.58262
2023-08-08,32.735878
2023-08-09,32.741413
2023-08-10,32.690434
2023-08-11,32.64623
2023-08-12,32.58753
2023-08-13,32.60886
2023-08-14,32.68047
2023-08-15,32.748722
2023-08-16,32.727093
2023-08-17,32.70561
2023-08-18,32.82611
2023-08-19,32.925976
2023-08-20,32.94991
2023-08-21,32.842594
2023-08-22,32.749874
2023-08-23,32.79433
2023-08-24,32.83391
2023-08-25,32.828598
2023-08-26,33.000927
2023-08-27,33.374043
2023-08-28,33.56457
2023-08-29,33.34811
2023-08-30,33.068462
2023-08-31,33.105026
2023-09-01,33.208794
2023-09-02,33.188534
2023-09-03,33.048126
2023-09-04,32.914597
2023-09-05,32.912327
2023-09-06,32.86614
2023-09-07,32.78094
2023-09-08,32.771015
2023-09-09,33.01722
2023-09-10,33.490078
2023-09-11,34.026188
2023-09-12,34.48851
2023-09-13,34.440052
2023-09-14,34.198273
2023-09-15,34.23496
2023-09-16,34.5094
2023-09-17,34.550777
2023-09-18,34.412395
2023-09-19,34.374626
2023-09-20,34.391884
2023-09-21,34.525497
2023-09-22,34.552685
2023-09-23,34.372383
2023-09-24,34.341763
2023-09-25,34.37872
2023-09-26,34.416348
2023-09-27,34.78097
2023-09-28,35.118473
2023-09-29,35.013763
2023-09-30,34.797028
2023-10-01,34.64737
2023-10-02,34.507904
2023-10-03,34.403114
2023-10-04,34.507656
2023-10-05,34.585636
2023-10-06,34.656662
2023-10-07,34.936584
2023-10-08,35.19149
2023-10-09,35.356182
2023-10-10,35.179836
2023-10-11,34.84609
2023-10-12,34.765972
2023-10-13,34.88559
2023-10-14,35.04958
2023-10-15,35.22621
2023-10-16,35.526333
2023-10-17,35.6601
2023-10-18,35.604443
2023-10-19,35.60126
2023-10-20,35.676304
2023-10-21,35.98393
2023-10-22,35.885185
2023-10-23,35.385887
2023-10-24,35.20917
2023-10-25,35.34834
2023-10-26,35.476437
2023-10-27,35.29273
2023-10-28,35.139935
2023-10-29,35.08681
2023-10-30,34.95173
2023-10-31,34.967846
2023-11-01,35.18131
2023-11-02,35.34703
2023-11-03,35.45839
2023-11-04,35.639942
2023-11-05,36.104855
2023-11-06,36.51703
2023-11-07,36.33592
2023-11-08,36.439365
2023-11-09,36.540474
2023-11-10,36.174206
2023-11-11,36.000706
2023-11-12,35.94644
2023-11-13,36.066185
2023-11-14,36.3922
2023-11-15,36.84789
2023-11-16,36.93755
2023-11-17,36.979977
2023-11-18,37.074757
2023-11-19,37.17571
2023-11-20,37.181004
2023-11-21,37.251232
2023-11-22,37.419796
2023-11-23,37.864285
2023-11-24,38.485622
2023-11-25,39.14348
2023-11-26,39.463642
2023-11-27,39.552177
2023-11-28,39.711693
2023-11-29,39.82993
2023-11-30,39.896267
2023-12-01,40.010513
2023-12-02,40.083347
2023-12-03,40.127995
2023-12-04,40.239452
2023-12-05,39.86084
2023-12-06,39.238922
2023-12-07,38.804615
2023-12-08,38.553883
2023-12-09,38.467117
2023-12-10,38.48962
2023-12-11,38.699474
2023-12-12,39.131657
2023-12-13,39.406525
2023-12-14,39.396786
2023-12-15,39.455284
2023-12-16,39.634823
2023-12-17,39.648514
2023-12-18,39.562897
2023-12-19,39.638733
2023-12-20,39.90275
2023-12-21,40.19196
2023-12-22,40.642773
2023-12-23,40.840942
2023-12-24,40.722336
2023-12-25,40.93526
2023-12-26,41.12084
2023-12-27,41.025295
2023-12-28,40.86025
2023-12-29,40.649975
2023-12-30,40.55847
2023-12-31,40.694126
2024-01-01,40.765675
2024-01-02,40.615955
2024-01-03,40.419903
2024-01-04,40.325947
2024-01-05,40.321033
2024-01-06,40.44844
2024-01-07,40.689884
2024-01-08,40.842804
2024-01-09,40.58035
2024-01-10,40.375065
2024-01-11,40.602413
2024-01-12,40.94011
2024-01-13,41.54526
2024-01-14,42.395336
2024-01-15,42.915882
2024-01-16,43.27499
2024-01-17,43.472828
2024-01-18,43.02892
2024-01-19,42.550564
2024-01-20,42.43941
2024-01-21,42.261753
2024-01-22,42.020374
2024-01-23,41.809025
2024-01-24,41.30265
2024-01-25,40.51515
2024-01-26,40.071205
2024-01-27,40.401287
2024-01-28,40.56909
2024-01-29,40.21875
2024-01-30,40.05402
2024-01-31,40.41976
2024-02-01,40.99882
2024-02-02,41.138615
2024-02-03,40.62056
2024-02-04,39.838867
2024-02-05,39.44923
2024-02-06,39.625366
2024-02-07,40.066288
2024-02-08,40.45987
2024-02-09,40.724545
