depth,time,nppv,o2
0.49402538,2022-06-21,10.7633095,230.4154
0.49402538,2022-06-22,11.819142,230.09564
0.49402538,2022-06-23,9.612931,229.43784
0.49402538,2022-06-24,13.682743,228.85184
0.49402538,2022-06-25,13.105822,228.50151
0.49402538,2022-06-26,13.91552,228.33636
0.49402538,2022-06-27,13.553816,228.56372
0.49402538,2022-06-28,14.978621,228.97552
0.49402538,2022-06-29,14.918815,229.34451
0.49402538,2022-06-30,15.257889,229.41815
0.49402538,2022-07-01,15.595652,229.09924
0.49402538,2022-07-02,15.782791,228.85616
0.49402538,2022-07-03,16.692806,229.03024
0.49402538,2022-07-04,16.361595,229.32567
0.49402538,2022-07-05,11.42923,229.12393
0.49402538,2022-07-06,16.921577,228.78094
0.49402538,2022-07-07,14.8986635,228.43347
0.49402538,2022-07-08,16.333683,228.32271
0.49402538,2022-07-09,11.361239,228.63638
0.49402538,2022-07-10,16.36782,228.97815
0.49402538,2022-07-11,17.641346,229.34091
0.49402538,2022-07-12,17.6805,229.83698
0.49402538,2022-07-13,18.448074,230.36995
0.49402538,2022-07-14,17.509876,230.83865
0.49402538,2022-07-15,17.770836,231.10666
0.49402538,2022-07-16,17.344566,231.26138
0.49402538,2022-07-17,11.998106,231.13522
0.49402538,2022-07-18,18.868893,231.24268
0.49402538,2022-07-19,19.89558,231.48332
0.49402538,2022-07-20,16.819973,231.68286
0.49402538,2022-07-21,18.546944,232.1254
0.49402538,2022-07-22,17.40155,232.70248
0.49402538,2022-07-23,14.490994,233.46396
0.49402538,2022-07-24,17.746166,234.34372
0.49402538,2022-07-25,17.46627,235.03021
0.49402538,2022-07-26,17.105207,235.20105
0.49402538,2022-07-27,19.682625,234.7656
0.49402538,2022-07-28,20.395401,234.39114
0.49402538,2022-07-29,20.49191,234.47823
0.49402538,2022-07-30,20.30467,235.14563
0.49402538,2022-07-31,18.719952,235.6101
0.49402538,2022-08-01,19.231457,235.94777
0.49402538,2022-08-02,19.098793,236.87645
0.49402538,2022-08-03,19.86289,238.07426
0.49402538,2022-08-04,19.728659,239.09943
0.49402538,2022-08-05,17.716282,239.61432
0.49402538,2022-08-06,19.303383,239.80505
0.49402538,2022-08-07,20.039753,239.68047
0.49402538,2022-08-08,17.162838,239.2089
0.49402538,2022-08-09,20.377337,239.45728
0.49402538,2022-08-10,21.080326,240.12433
0.49402538,2022-08-11,22.209806,240.65906
0.49402538,2022-08-12,22.207554,240.72809
0.49402538,2022-08-13,18.024014,240.30513
0.49402538,2022-08-14,21.922697,239.57166
0.49402538,2022-08-15,21.848316,239.28824
0.49402538,2022-08-16,21.184975,239.20728
0.49402538,2022-08-17,19.484257,239.00165
0.49402538,2022-08-18,20.269865,238.9735
0.49402538,2022-08-19,20.373209,239.26962
0.49402538,2022-08-20,22.452843,239.74686
0.49402538,2022-08-21,23.075314,240.02216
0.49402538,2022-08-22,24.634136,240.46582
0.49402538,2022-08-23,23.441837,241.02214
0.49402538,2022-08-24,21.464527,240.82416
0.49402538,2022-08-25,21.944387,239.70264
0.49402538,2022-08-26,21.633055,238.68369
0.49402538,2022-08-27,22.32639,238.71747
0.49402538,2022-08-28,21.710487,239.61212
0.49402538,2022-08-29,21.714264,240.50542
0.49402538,2022-08-30,20.910461,240.98116
0.49402538,2022-08-31,20.971142,241.35678
0.49402538,2022-09-01,20.737595,241.84714
0.49402538,2022-09-02,19.68229,241.92058
0.49402538,2022-09-03,16.187866,241.58858
0.49402538,2022-09-04,21.189922,240.96454
0.49402538,2022-09-05,23.314762,240.88065
0.49402538,2022-09-06,22.559261,241.12027
0.49402538,2022-09-07,22.759356,241.15857
0.49402538,2022-09-08,21.22949,241.05023
0.49402538,2022-09-09,20.825455,240.86256
0.49402538,2022-09-10,19.944532,240.82709
0.49402538,2022-09-11,19.080734,240.96976
0.49402538,2022-09-12,19.991741,240.1311
0.49402538,2022-09-13,23.841503,239.5386
0.49402538,2022-09-14,22.67949,240.30923
0.49402538,2022-09-15,21.256802,241.57489
0.49402538,2022-09-16,19.200153,242.58255
0.49402538,2022-09-17,17.041649,243.05814
0.49402538,2022-09-18,18.090393,242.99539
0.49402538,2022-09-19,21.922157,242.99002
0.49402538,2022-09-20,19.461708,243.50514
0.49402538,2022-09-21,19.201094,243.84409
0.49402538,2022-09-22,18.653286,243.97867
0.49402538,2022-09-23,18.365376,243.90042
0.49402538,2022-09-24,19.675312,243.93842
0.49402538,2022-09-25,17.618546,244.21361
0.49402538,2022-09-26,17.49974,244.48071
0.49402538,2022-09-27,17.274218,244.73013
0.49402538,2022-09-28,16.22017,244.8414
0.49402538,2022-09-29,15.649031,244.6789
0.49402538,2022-09-30,15.4213505,244.34787
0.49402538,2022-10-01,18.388046,244.08336
0.49402538,2022-10-02,20.37521,243.90033
0.49402538,2022-10-03,17.860935,243.83606
0.49402538,2022-10-04,15.735649,243.32108
0.49402538,2022-10-05,18.070854,243.18732
0.49402538,2022-10-06,18.303318,243.51337
0.49402538,2022-10-07,15.99239,243.95634
0.49402538,2022-10-08,13.996138,244.15198
0.49402538,2022-10-09,15.066841,244.06439
0.49402538,2022-10-10,19.030445,244.11473
0.49402538,2022-10-11,16.650566,244.34628
0.49402538,2022-10-12,15.686764,244.48308
0.49402538,2022-10-13,14.020481,244.56726
0.49402538,2022-10-14,12.922699,244.57028
0.49402538,2022-10-15,12.353453,244.43364
0.49402538,2022-10-16,13.437374,244.2203
0.49402538,2022-10-17,14.472664,244.11899
0.49402538,2022-10-18,12.905849,244.01343
0.49402538,2022-10-19,11.705467,243.65358
0.49402538,2022-10-20,11.04066,243.25677
0.49402538,2022-10-21,11.188391,242.999
0.49402538,2022-10-22,11.123198,242.60616
0.49402538,2022-10-23,10.2445965,242.06055
0.49402538,2022-10-24,14.464121,241.81995
0.49402538,2022-10-25,15.926302,241.71521
0.49402538,2022-10-26,13.111599,241.49979
0.49402538,2022-10-27,13.258715,241.14688
0.49402538,2022-10-28,13.131189,240.66983
0.49402538,2022-10-29,12.980067,240.09998
0.49402538,2022-10-30,13.584933,239.79904
0.49402538,2022-10-31,11.703403,239.71854
0.49402538,2022-11-01,10.585278,239.66687
0.49402538,2022-11-02,9.481772,239.59058
0.49402538,2022-11-03,9.009198,239.51321
0.49402538,2022-11-04,9.300346,239.42001
0.49402538,2022-11-05,9.928345,239.32018
0.49402538,2022-11-06,9.712966,239.21646
0.49402538,2022-11-07,9.40425,239.0907
0.49402538,2022-11-08,8.63961,238.9859
0.49402538,2022-11-09,8.28459,238.82922
0.49402538,2022-11-10,9.603611,238.56976
0.49402538,2022-11-11,11.751545,238.38773
0.49402538,2022-11-12,9.995438,238.18178
0.49402538,2022-11-13,9.11154,238.00793
0.49402538,2022-11-14,8.3344965,237.89069
0.49402538,2022-11-15,7.4332614,237.75623
0.49402538,2022-11-16,7.064974,237.54759
0.49402538,2022-11-17,8.4997015,237.43054
0.49402538,2022-11-18,9.13071,237.43573
0.49402538,2022-11-19,8.0380745,237.5719
0.49402538,2022-11-20,7.4420857,237.69287
0.49402538,2022-11-21,6.814411,237.67664
0.49402538,2022-11-22,6.503619,237.43729
0.49402538,2022-11-23,6.362858,237.06744
0.49402538,2022-11-24,6.2493296,236.7073
0.49402538,2022-11-25,6.028759,236.36736
0.49402538,2022-11-26,6.3729815,236.10606
0.49402538,2022-11-27,7.215789,236.087
0.49402538,2022-11-28,6.6705933,235.97504
0.49402538,2022-11-29,6.2255487,235.53912
0.49402538,2022-11-30,6.0327487,234.85226
0.49402538,2022-12-01,5.854336,234.34755
0.49402538,2022-12-02,5.812644,234.04547
0.49402538,2022-12-03,6.31304,233.90259
0.49402538,2022-12-04,6.9548144,233.75954
0.49402538,2022-12-05,7.0780888,233.6031
0.49402538,2022-12-06,7.2132955,233.50113
0.49402538,2022-12-07,6.2358027,233.37033
0.49402538,2022-12-08,5.786619,233.26074
0.49402538,2022-12-09,5.653472,233.10886
0.49402538,2022-12-10,6.330652,233.01831
0.49402538,2022-12-11,6.4572344,232.99655
0.49402538,2022-12-12,5.9928803,232.96718
0.49402538,2022-12-13,5.757621,232.93498
0.49402538,2022-12-14,5.446494,232.7464
0.49402538,2022-12-15,5.267192,232.47278
0.49402538,2022-12-16,5.231488,232.24628
0.49402538,2022-12-17,5.102641,231.96063
0.49402538,2022-12-18,5.036133,231.4654
0.49402538,2022-12-19,4.9321146,231.01741
0.49402538,2022-12-20,4.904037,230.63528
0.49402538,2022-12-21,4.944381,230.2511
0.49402538,2022-12-22,5.0328445,229.74442
0.49402538,2022-12-23,4.9934154,229.17947
0.49402538,2022-12-24,4.787999,228.94353
0.49402538,2022-12-25,4.951422,229.0546
0.49402538,2022-12-26,5.8112583,229.38687
0.49402538,2022-12-27,6.2967243,229.4082
0.49402538,2022-12-28,5.5005417,229.29135
0.49402538,2022-12-29,5.008319,229.02644
0.49402538,2022-12-30,4.8994436,228.58257
0.49402538,2022-12-31,5.664749,228.43
0.49402538,2023-01-01,5.6994457,228.25723
0.49402538,2023-01-02,4.9483747,228.21628
0.49402538,2023-01-03,4.4451485,228.10333
0.49402538,2023-01-04,4.2491703,227.83595
0.49402538,2023-01-05,4.3092566,227.5057
0.49402538,2023-01-06,4.638714,227.34293
