SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0011,34.4814,23.8251,1.0504,4.9299,0.9430
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0058,34.4798,23.8224,1.0694,4.9301,0.9466
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0069,34.4827,23.8243,1.0883,4.9306,0.9504
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0122,34.4844,23.8240,1.1073,4.9314,0.9550
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0177,34.4865,23.8242,1.1266,4.9322,0.9585
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0175,34.4913,23.8279,1.1457,4.9328,0.9629
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0160,34.4947,23.8310,1.1649,4.9331,0.9716
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0143,34.4978,23.8339,1.1845,4.9333,0.9816
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0126,34.5016,23.8372,1.2043,4.9336,0.9880
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0112,34.5031,23.8386,1.2242,4.9336,0.9892
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0085,34.5026,23.8389,1.2439,4.9333,0.9894
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0086,34.5011,23.8378,1.2636,4.9331,0.9940
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0121,34.4995,23.8355,1.2835,4.9333,1.0040
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0135,34.4996,23.8354,1.3037,4.9334,1.0165
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0129,34.5017,23.8372,1.3242,4.9336,1.0292
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0142,34.5028,23.8376,1.3449,4.9339,1.0417
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0167,34.5013,23.8357,1.3659,4.9340,1.0548
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0157,34.5015,23.8362,1.3871,4.9339,1.0694
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0108,34.5071,23.8419,1.4086,4.9341,1.0855
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0077,34.5142,23.8479,1.4305,4.9347,1.1004
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0088,34.5182,23.8507,1.4527,4.9353,1.1116
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0112,34.5200,23.8515,1.4750,4.9358,1.1221
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0129,34.5207,23.8516,1.4975,4.9361,1.1357
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0155,34.5184,23.8491,1.5204,4.9360,1.1516
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0179,34.5153,23.8460,1.5436,4.9359,1.1654
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0192,34.5141,23.8448,1.5671,4.9359,1.1762
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0225,34.5119,23.8422,1.5906,4.9359,1.1870
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0256,34.5091,23.8392,1.6145,4.9359,1.1983
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0257,34.5078,23.8381,1.6386,4.9357,1.2067
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0254,34.5056,23.8366,1.6629,4.9354,1.2108
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0235,34.5040,23.8360,1.6871,4.9350,1.2132
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0197,34.5056,23.8383,1.7114,4.9348,1.2166
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0180,34.5081,23.8406,1.7358,4.9350,1.2194
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0167,34.5105,23.8427,1.7602,4.9352,1.2207
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0132,34.5128,23.8455,1.7846,4.9351,1.2223
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0115,34.5125,23.8458,1.8091,4.9349,1.2246
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0130,34.5103,23.8436,1.8336,4.9348,1.2261
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0154,34.5071,23.8406,1.8581,4.9346,1.2262
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0157,34.5051,23.8389,1.8827,4.9344,1.2251
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0126,34.5068,23.8410,1.9072,4.9343,1.2248
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0136,34.5063,23.8404,1.9315,4.9343,1.2295
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0171,34.5031,23.8370,1.9562,4.9343,1.2399
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0138,34.5046,23.8391,1.9812,4.9341,1.2521
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0091,34.5066,23.8420,2.0063,4.9339,1.2644
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0074,34.5061,23.8420,2.0317,4.9337,1.2784
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0079,34.5057,23.8415,2.0574,4.9337,1.2942
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0110,34.5045,23.8397,2.0835,4.9338,1.3093
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0103,34.5049,23.8403,2.1099,4.9338,1.3204
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0079,34.5031,23.8395,2.1363,4.9333,1.3293
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0084,34.4966,23.8346,2.1629,4.9326,1.3406
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0039,34.4961,23.8353,2.1899,4.9321,1.3557
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0002,34.5006,23.8398,2.2172,4.9323,1.3717
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0061,34.5029,23.8399,2.2448,4.9332,1.3864
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0136,34.5074,23.8413,2.2727,4.9345,1.3990
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0199,34.5131,23.8439,2.3008,4.9359,1.4105
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0255,34.5163,23.8447,2.3290,4.9368,1.4219
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0280,34.5178,23.8451,2.3577,4.9373,1.4308
