SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.1900,36.3700,25.2070,13.9286,  NaN,  NaN
CS226,GARDEN IS,     92084,19920324 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.1900,36.3700,25.2070,15.0000,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,0.0947,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,0.4737,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,0.9474,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,1.8947,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,2.8421,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,3.7895,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,4.7368,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,5.6842,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,6.6316,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,7.5789,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,8.5263,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,9.4737,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,10.4211,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,11.3684,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,12.3158,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,13.2632,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,14.2105,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,15.1579,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,16.1053,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,17.0526,  NaN,  NaN
GI1,GARDEN IS,     92071,19920311 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,22.1400,36.0600,24.9857,18.0000,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.2400,35.9400,25.1453,0.0947,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.2400,35.9400,25.1453,0.4737,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.2400,35.9400,25.1453,0.9474,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.2400,35.9400,25.1453,1.8947,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.2400,35.9400,25.1453,2.8421,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.1900,35.9400,25.1589,3.7895,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.1900,35.9400,25.1589,4.7368,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.1900,35.9400,25.1589,5.6842,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.1900,35.9400,25.1589,6.6316,  NaN,  NaN
GI1,GARDEN IS,     92086,19920326 00:00:00,370149.0000,6443943.0000,-32.133431,115.623337,21.1900,35.9400,25.1589,7.5789,  NaN,  NaN
