depth,latitude,longitude,time,kd
0.49402538,-32.25,115.25,2024-04-03,0.03459
0.49402538,-32.25,115.25,2024-04-04,0.03459
0.49402538,-32.25,115.25,2024-04-05,0.03459
0.49402538,-32.25,115.25,2024-04-06,0.03459
0.49402538,-32.25,115.25,2024-04-07,0.033748507
0.49402538,-32.25,115.25,2024-04-08,0.03459
0.49402538,-32.25,115.25,2024-04-09,0.03459
0.49402538,-32.25,115.25,2024-04-10,0.035255343
0.49402538,-32.25,115.25,2024-04-11,0.03448208
0.49402538,-32.25,115.25,2024-04-12,0.034432285
0.49402538,-32.25,115.25,2024-04-13,0.03459
0.49402538,-32.25,115.25,2024-04-14,0.03459
0.49402538,-32.25,115.25,2024-04-15,0.033953194
0.49402538,-32.25,115.25,2024-04-16,0.033498336
0.49402538,-32.25,115.25,2024-04-17,0.033498336
0.49402538,-32.25,115.25,2024-04-18,0.03422611
0.49402538,-32.25,115.25,2024-04-19,0.03459
0.49402538,-32.25,115.25,2024-04-20,0.03459
0.49402538,-32.25,115.25,2024-04-21,0.03459
0.49402538,-32.25,115.25,2024-04-22,0.034867223
0.49402538,-32.25,115.25,2024-04-23,0.03646366
0.49402538,-32.25,115.25,2024-04-24,0.038588695
0.49402538,-32.25,115.25,2024-04-25,0.039197437
0.49402538,-32.25,115.25,2024-04-26,0.039197437
0.49402538,-32.25,115.25,2024-04-27,0.03842
0.49402538,-32.25,115.25,2024-04-28,0.03904909
0.49402538,-32.25,115.25,2024-04-29,0.04007949
0.49402538,-32.25,115.25,2024-04-30,0.042962473
0.49402538,-32.25,115.25,2024-05-01,0.043242205
0.49402538,-32.25,115.25,2024-05-02,0.039558284
0.49402538,-32.25,115.25,2024-05-03,0.03689473
0.49402538,-32.25,115.25,2024-05-04,0.035597954
0.49402538,-32.25,115.25,2024-05-05,0.035255343
0.49402538,-32.25,115.25,2024-05-06,0.035255343
0.49402538,-32.25,115.25,2024-05-07,0.034659307
0.49402538,-32.25,115.25,2024-05-08,0.034659307
0.49402538,-32.25,115.25,2024-05-09,0.037128676
0.49402538,-32.25,115.25,2024-05-10,0.03852125
0.49402538,-32.25,115.25,2024-05-11,0.03773266
0.49402538,-32.25,115.25,2024-05-12,0.03620003
0.49402538,-32.25,115.25,2024-05-13,0.035186037
0.49402538,-32.25,115.25,2024-05-14,0.03459
0.49402538,-32.25,115.25,2024-05-15,0.03459
0.49402538,-32.25,115.25,2024-05-16,0.03459
0.49402538,-32.25,115.25,2024-05-17,0.03459
0.49402538,-32.25,115.25,2024-05-18,0.03459
0.49402538,-32.25,115.25,2024-05-19,0.03459
0.49402538,-32.25,115.25,2024-05-20,0.035275217
0.49402538,-32.25,115.25,2024-05-21,0.03628762
0.49402538,-32.25,115.25,2024-05-22,0.03770042
0.49402538,-32.25,115.25,2024-05-23,0.0372723
0.49402538,-32.25,115.25,2024-05-24,0.037149582
0.49402538,-32.25,115.25,2024-05-25,0.037149582
0.49402538,-32.25,115.25,2024-05-26,0.03643
0.49402538,-32.25,115.25,2024-05-27,0.03643
0.49402538,-32.25,115.25,2024-05-28,0.03696027
0.49402538,-32.25,115.25,2024-05-29,0.04227119
0.49402538,-32.25,115.25,2024-05-30,0.04477755
0.49402538,-32.25,115.25,2024-05-31,0.04501729
0.49402538,-32.25,115.25,2024-06-01,0.04967094
0.49402538,-32.25,115.25,2024-06-02,0.05103
0.49402538,-32.25,115.25,2024-06-03,0.050722037
0.49402538,-32.25,115.25,2024-06-04,0.04826534
0.49402538,-32.25,115.25,2024-06-05,0.04811
0.49402538,-32.25,115.25,2024-06-06,0.045821674
0.49402538,-32.25,115.25,2024-06-07,0.046198126
0.49402538,-32.25,115.25,2024-06-08,0.043838445
0.49402538,-32.25,115.25,2024-06-09,0.04506091
0.49402538,-32.25,115.25,2024-06-10,0.04819799
0.49402538,-32.25,115.25,2024-06-11,0.050292116
0.49402538,-32.25,115.25,2024-06-12,0.052041866
0.49402538,-32.25,115.25,2024-06-13,0.05305373
0.49402538,-32.25,115.25,2024-06-14,0.051136307
0.49402538,-32.25,115.25,2024-06-15,0.04997413
0.49402538,-32.25,115.25,2024-06-16,0.048847884
0.49402538,-32.25,115.25,2024-06-17,0.046336845
0.49402538,-32.25,115.25,2024-06-18,0.045910385
0.49402538,-32.25,115.25,2024-06-19,0.046959426
0.49402538,-32.25,115.25,2024-06-20,0.049624607
0.49402538,-32.25,115.25,2024-06-21,0.052139014
0.49402538,-32.25,115.25,2024-06-22,0.05305373
0.49402538,-32.25,115.25,2024-06-23,0.05305373
0.49402538,-32.25,115.25,2024-06-24,0.053416554
0.49402538,-32.25,115.25,2024-06-25,0.05455038
0.49402538,-32.25,115.25,2024-06-26,0.0533683
0.49402538,-32.25,115.25,2024-06-27,0.050486054
0.49402538,-32.25,115.25,2024-06-28,0.05031214
0.49402538,-32.25,115.25,2024-06-29,0.05031214
0.49402538,-32.25,115.25,2024-06-30,0.05031214
0.49402538,-32.25,115.25,2024-07-01,0.05031214
0.49402538,-32.25,115.25,2024-07-02,0.05031214
0.49402538,-32.25,115.25,2024-07-03,0.050073333
0.49402538,-32.25,115.25,2024-07-04,0.04916587
0.49402538,-32.25,115.25,2024-07-05,0.0500591
0.49402538,-32.25,115.25,2024-07-06,0.05136433
0.49402538,-32.25,115.25,2024-07-07,0.05217627
0.49402538,-32.25,115.25,2024-07-08,0.05217627
0.49402538,-32.25,115.25,2024-07-09,0.05217627
0.49402538,-32.25,115.25,2024-07-10,0.05217627
0.49402538,-32.25,115.25,2024-07-11,0.051746417
0.49402538,-32.25,115.25,2024-07-12,0.05103
0.49402538,-32.25,115.25,2024-07-13,0.05103
0.49402538,-32.25,115.25,2024-07-14,0.05103
0.49402538,-32.25,115.25,2024-07-15,0.051898263
0.49402538,-32.25,115.25,2024-07-16,0.0542
0.49402538,-32.25,115.25,2024-07-17,0.05301949
0.49402538,-32.25,115.25,2024-07-18,0.054378442
0.49402538,-32.25,115.25,2024-07-19,0.055433054
0.49402538,-32.25,115.25,2024-07-20,0.056521527
0.49402538,-32.25,115.25,2024-07-21,0.055433054
0.49402538,-32.25,115.25,2024-07-22,0.053577967
0.49402538,-32.25,115.25,2024-07-23,0.054210383
0.49402538,-32.25,115.25,2024-07-24,0.055433054
0.49402538,-32.25,115.25,2024-07-25,0.05432844
0.49402538,-32.25,115.25,2024-07-26,0.05587806
0.49402538,-32.25,115.25,2024-07-27,0.055469885
0.49402538,-32.25,115.25,2024-07-28,0.0542
0.49402538,-32.25,115.25,2024-07-29,0.0542
0.49402538,-32.25,115.25,2024-07-30,0.0542
0.49402538,-32.25,115.25,2024-07-31,0.0542
0.49402538,-32.25,115.25,2024-08-01,0.053061653
0.49402538,-32.25,115.25,2024-08-02,0.054031357
0.49402538,-32.25,115.25,2024-08-03,0.053985074
0.49402538,-32.25,115.25,2024-08-04,0.05305373
0.49402538,-32.25,115.25,2024-08-05,0.051662415
0.49402538,-32.25,115.25,2024-08-06,0.050020263
0.49402538,-32.25,115.25,2024-08-07,0.050525133
0.49402538,-32.25,115.25,2024-08-08,0.052763887
0.49402538,-32.25,115.25,2024-08-09,0.055469885
0.49402538,-32.25,115.25,2024-08-10,0.05637695
0.49402538,-32.25,115.25,2024-08-11,0.05637695
0.49402538,-32.25,115.25,2024-08-12,0.054657944
0.49402538,-32.25,115.25,2024-08-13,0.05305373
0.49402538,-32.25,115.25,2024-08-14,0.053364176
0.49402538,-32.25,115.25,2024-08-15,0.05433606
0.49402538,-32.25,115.25,2024-08-16,0.05535289
0.49402538,-32.25,115.25,2024-08-17,0.05183106
0.49402538,-32.25,115.25,2024-08-18,0.05258964
0.49402538,-32.25,115.25,2024-08-19,0.054971002
0.49402538,-32.25,115.25,2024-08-20,0.05637695
0.49402538,-32.25,115.25,2024-08-21,0.05637695
0.49402538,-32.25,115.25,2024-08-22,0.054744236
0.49402538,-32.25,115.25,2024-08-23,0.05382055
0.49402538,-32.25,115.25,2024-08-24,0.05217627
0.49402538,-32.25,115.25,2024-08-25,0.05217627
0.49402538,-32.25,115.25,2024-08-26,0.0524714
0.49402538,-32.25,115.25,2024-08-27,0.0542
0.49402538,-32.25,115.25,2024-08-28,0.0542
0.49402538,-32.25,115.25,2024-08-29,0.0542
0.49402538,-32.25,115.25,2024-08-30,0.0542
0.49402538,-32.25,115.25,2024-08-31,0.053674627
0.49402538,-32.25,115.25,2024-09-01,0.05305373
0.49402538,-32.25,115.25,2024-09-02,0.050931133
0.49402538,-32.25,115.25,2024-09-03,0.047433764
0.49402538,-32.25,115.25,2024-09-04,0.0493002
0.49402538,-32.25,115.25,2024-09-05,0.0533329
0.49402538,-32.25,115.25,2024-09-06,0.05283376
0.49402538,-32.25,115.25,2024-09-07,0.049722232
0.49402538,-32.25,115.25,2024-09-08,0.04577107
0.49402538,-32.25,115.25,2024-09-09,0.043797616
0.49402538,-32.25,115.25,2024-09-10,0.043797616
0.49402538,-32.25,115.25,2024-09-11,0.042822167
0.49402538,-32.25,115.25,2024-09-12,0.040522467
0.49402538,-32.25,115.25,2024-09-13,0.03913647
0.49402538,-32.25,115.25,2024-09-14,0.038084317
0.49402538,-32.25,115.25,2024-09-15,0.03792702
0.49402538,-32.25,115.25,2024-09-16,0.03731155
0.49402538,-32.25,115.25,2024-09-17,0.03685521
0.49402538,-32.25,115.25,2024-09-18,0.040183537
0.49402538,-32.25,115.25,2024-09-19,0.043592967
0.49402538,-32.25,115.25,2024-09-20,0.04611636
0.49402538,-32.25,115.25,2024-09-21,0.04459835
0.49402538,-32.25,115.25,2024-09-22,0.040473342
0.49402538,-32.25,115.25,2024-09-23,0.03792918
0.49402538,-32.25,115.25,2024-09-24,0.03770042
0.49402538,-32.25,115.25,2024-09-25,0.03770042
0.49402538,-32.25,115.25,2024-09-26,0.037660837
0.49402538,-32.25,115.25,2024-09-27,0.042239193
0.49402538,-32.25,115.25,2024-09-28,0.0453224
0.49402538,-32.25,115.25,2024-09-29,0.043702573
0.49402538,-32.25,115.25,2024-09-30,0.040712807
0.49402538,-32.25,115.25,2024-10-01,0.03985862
0.49402538,-32.25,115.25,2024-10-02,0.049663443
0.49402538,-32.25,115.25,2024-10-03,0.051787056
0.49402538,-32.25,115.25,2024-10-04,0.051589552
0.49402538,-32.25,115.25,2024-10-05,0.049250793
0.49402538,-32.25,115.25,2024-10-06,0.045073796
0.49402538,-32.25,115.25,2024-10-07,0.041774396
0.49402538,-32.25,115.25,2024-10-08,0.039693736
0.49402538,-32.25,115.25,2024-10-09,0.03979256
0.49402538,-32.25,115.25,2024-10-10,0.038677353
0.49402538,-32.25,115.25,2024-10-11,0.037119802
