time,latitude,longitude,poc
2016-10-16 00:00:00,-31.895838,115.68751,140.4
2016-11-16 00:00:00,-31.895838,115.68751,152.2
2016-12-16 00:00:00,-31.895838,115.68751,124.0
2017-01-16 00:00:00,-31.895838,115.68751,145.6
2017-02-16 00:00:00,-31.895838,115.68751,328.4
2017-03-16 00:00:00,-31.895838,115.68751,399.0
2017-04-16 00:00:00,-31.895838,115.68751,251.6
2017-05-16 00:00:00,-31.895838,115.68751,239.0
2017-06-16 00:00:00,-31.895838,115.68751,310.6
2017-07-16 00:00:00,-31.895838,115.68751,160.0
2017-08-16 00:00:00,-31.895838,115.68751,246.6
2017-09-16 00:00:00,-31.895838,115.68751,448.6
2017-10-16 00:00:00,-31.895838,115.68751,567.4
2017-11-16 00:00:00,-31.895838,115.68751,200.8
2017-12-16 00:00:00,-31.895838,115.68751,122.0
2018-01-16 00:00:00,-31.895838,115.68751,127.4
2018-02-16 00:00:00,-31.895838,115.68751,154.6
2018-03-16 00:00:00,-31.895838,115.68751,180.8
2018-04-16 00:00:00,-31.895838,115.68751,185.8
2018-05-16 00:00:00,-31.895838,115.68751,220.4
2018-06-16 00:00:00,-31.895838,115.68751,239.8
2018-07-16 00:00:00,-31.895838,115.68751,242.8
2018-08-16 00:00:00,-31.895838,115.68751,231.8
2018-09-16 00:00:00,-31.895838,115.68751,627.4
2018-10-16 00:00:00,-31.895838,115.68751,169.2
2018-11-16 00:00:00,-31.895838,115.68751,164.0
2018-12-16 00:00:00,-31.895838,115.68751,131.2
2019-01-16 00:00:00,-31.895838,115.68751,140.0
2019-02-16 00:00:00,-31.895838,115.68751,149.0
2019-03-16 00:00:00,-31.895838,115.68751,279.4
2019-04-16 00:00:00,-31.895838,115.68751,224.4
2019-05-16 00:00:00,-31.895838,115.68751,229.4
2019-06-16 00:00:00,-31.895838,115.68751,172.8
2019-07-16 00:00:00,-31.895838,115.68751,194.4
2019-08-16 00:00:00,-31.895838,115.68751,207.8
2019-09-16 00:00:00,-31.895838,115.68751,217.4
2019-10-16 00:00:00,-31.895838,115.68751,205.0
2019-11-16 00:00:00,-31.895838,115.68751,163.2
2019-12-16 00:00:00,-31.895838,115.68751,124.0
2020-01-16 00:00:00,-31.895838,115.68751,151.0
2020-02-16 00:00:00,-31.895838,115.68751,123.2
2020-03-16 00:00:00,-31.895838,115.68751,198.2
2020-04-16 00:00:00,-31.895838,115.68751,299.4
2020-05-16 00:00:00,-31.895838,115.68751,221.4
2020-06-16 00:00:00,-31.895838,115.68751,245.2
2020-07-16 00:00:00,-31.895838,115.68751,214.2
2020-08-16 00:00:00,-31.895838,115.68751,234.6
2020-09-16 00:00:00,-31.895838,115.68751,139.6
2020-10-16 00:00:00,-31.895838,115.68751,147.2
2020-11-16 00:00:00,-31.895838,115.68751,179.2
2020-12-16 00:00:00,-31.895838,115.68751,163.2
2021-01-16 00:00:00,-31.895838,115.68751,122.2
2021-02-16 00:00:00,-31.895838,115.68751,161.8
2021-03-16 00:00:00,-31.895838,115.68751,344.2
2021-04-16 00:00:00,-31.895838,115.68751,219.6
2021-05-16 00:00:00,-31.895838,115.68751,205.8
2021-06-16 00:00:00,-31.895838,115.68751,203.6
2021-07-16 00:00:00,-31.895838,115.68751,225.8
2021-08-16 00:00:00,-31.895838,115.68751,376.8
2021-09-16 00:00:00,-31.895838,115.68751,248.2
2021-10-16 00:00:00,-31.895838,115.68751,247.8
2021-11-16 00:00:00,-31.895838,115.68751,237.2
2021-12-16 00:00:00,-31.895838,115.68751,173.8
