time,latitude,longitude,spco2
2022-08-18,-32.25,115.5,31.885754
2022-08-19,-32.25,115.5,31.931759
2022-08-20,-32.25,115.5,32.02844
2022-08-21,-32.25,115.5,32.223858
2022-08-22,-32.25,115.5,32.46904
2022-08-23,-32.25,115.5,32.627308
2022-08-24,-32.25,115.5,32.699688
2022-08-25,-32.25,115.5,32.828518
2022-08-26,-32.25,115.5,33.127357
2022-08-27,-32.25,115.5,33.07879
2022-08-28,-32.25,115.5,32.605656
2022-08-29,-32.25,115.5,32.27845
2022-08-30,-32.25,115.5,32.14205
2022-08-31,-32.25,115.5,32.045563
2022-09-01,-32.25,115.5,31.969778
2022-09-02,-32.25,115.5,31.75745
2022-09-03,-32.25,115.5,31.46468
2022-09-04,-32.25,115.5,31.353018
2022-09-05,-32.25,115.5,31.313848
2022-09-06,-32.25,115.5,31.279882
2022-09-07,-32.25,115.5,31.297607
2022-09-08,-32.25,115.5,31.36358
2022-09-09,-32.25,115.5,31.681877
2022-09-10,-32.25,115.5,31.915478
2022-09-11,-32.25,115.5,32.103333
2022-09-12,-32.25,115.5,32.235886
2022-09-13,-32.25,115.5,32.12596
2022-09-14,-32.25,115.5,31.886175
2022-09-15,-32.25,115.5,31.625372
2022-09-16,-32.25,115.5,31.465582
2022-09-17,-32.25,115.5,31.4582
2022-09-18,-32.25,115.5,31.519918
2022-09-19,-32.25,115.5,31.410448
2022-09-20,-32.25,115.5,31.232935
2022-09-21,-32.25,115.5,31.209953
2022-09-22,-32.25,115.5,31.213408
2022-09-23,-32.25,115.5,31.275269
2022-09-24,-32.25,115.5,31.34078
2022-09-25,-32.25,115.5,31.512264
2022-09-26,-32.25,115.5,31.688559
2022-09-27,-32.25,115.5,31.76263
2022-09-28,-32.25,115.5,31.844439
2022-09-29,-32.25,115.5,31.976456
2022-09-30,-32.25,115.5,32.0689
2022-10-01,-32.25,115.5,32.036465
2022-10-02,-32.25,115.5,31.934755
2022-10-03,-32.25,115.5,31.948017
2022-10-04,-32.25,115.5,32.11267
2022-10-05,-32.25,115.5,32.251427
2022-10-06,-32.25,115.5,32.24825
2022-10-07,-32.25,115.5,32.33292
2022-10-08,-32.25,115.5,32.530697
2022-10-09,-32.25,115.5,32.57481
2022-10-10,-32.25,115.5,32.320736
2022-10-11,-32.25,115.5,32.09148
2022-10-12,-32.25,115.5,32.027107
2022-10-13,-32.25,115.5,32.227943
2022-10-14,-32.25,115.5,32.58434
2022-10-15,-32.25,115.5,32.741844
2022-10-16,-32.25,115.5,32.710342
2022-10-17,-32.25,115.5,32.670704
2022-10-18,-32.25,115.5,32.944607
2022-10-19,-32.25,115.5,33.26905
2022-10-20,-32.25,115.5,33.43577
2022-10-21,-32.25,115.5,33.64266
2022-10-22,-32.25,115.5,34.1375
2022-10-23,-32.25,115.5,34.345413
2022-10-24,-32.25,115.5,34.169735
2022-10-25,-32.25,115.5,34.008495
2022-10-26,-32.25,115.5,33.90352
2022-10-27,-32.25,115.5,33.817303
2022-10-28,-32.25,115.5,33.666157
2022-10-29,-32.25,115.5,33.570267
2022-10-30,-32.25,115.5,33.400314
2022-10-31,-32.25,115.5,33.272366
2022-11-01,-32.25,115.5,33.2695
2022-11-02,-32.25,115.5,33.411186
2022-11-03,-32.25,115.5,33.836246
2022-11-04,-32.25,115.5,33.99444
2022-11-05,-32.25,115.5,33.788567
2022-11-06,-32.25,115.5,33.73344
2022-11-07,-32.25,115.5,34.0181
2022-11-08,-32.25,115.5,34.302975
2022-11-09,-32.25,115.5,34.567707
2022-11-10,-32.25,115.5,34.67848
2022-11-11,-32.25,115.5,34.417843
2022-11-12,-32.25,115.5,34.19987
2022-11-13,-32.25,115.5,34.09118
2022-11-14,-32.25,115.5,34.061455
2022-11-15,-32.25,115.5,34.23946
2022-11-16,-32.25,115.5,34.5533
2022-11-17,-32.25,115.5,34.439278
2022-11-18,-32.25,115.5,34.15203
2022-11-19,-32.25,115.5,34.109962
2022-11-20,-32.25,115.5,34.31957
2022-11-21,-32.25,115.5,34.65955
2022-11-22,-32.25,115.5,35.030914
2022-11-23,-32.25,115.5,35.300156
2022-11-24,-32.25,115.5,35.58002
2022-11-25,-32.25,115.5,35.8292
2022-11-26,-32.25,115.5,35.864597
2022-11-27,-32.25,115.5,35.732735
2022-11-28,-32.25,115.5,35.69701
2022-11-29,-32.25,115.5,35.98844
2022-11-30,-32.25,115.5,36.33831
2022-12-01,-32.25,115.5,36.496098
2022-12-02,-32.25,115.5,36.614624
2022-12-03,-32.25,115.5,36.69044
2022-12-04,-32.25,115.5,36.649193
2022-12-05,-32.25,115.5,36.593002
2022-12-06,-32.25,115.5,36.484474
2022-12-07,-32.25,115.5,36.387573
2022-12-08,-32.25,115.5,36.550976
2022-12-09,-32.25,115.5,36.80647
2022-12-10,-32.25,115.5,36.79757
2022-12-11,-32.25,115.5,36.619366
2022-12-12,-32.25,115.5,36.50537
2022-12-13,-32.25,115.5,36.36322
2022-12-14,-32.25,115.5,36.48396
2022-12-15,-32.25,115.5,36.78102
2022-12-16,-32.25,115.5,36.934628
2022-12-17,-32.25,115.5,37.136234
2022-12-18,-32.25,115.5,37.534294
2022-12-19,-32.25,115.5,37.829105
2022-12-20,-32.25,115.5,37.983227
2022-12-21,-32.25,115.5,38.302322
2022-12-22,-32.25,115.5,38.663925
2022-12-23,-32.25,115.5,39.13932
