time,latitude,longitude,pic
2018-07-16 00:00:00,-32.35417,115.60417,0.000864
2018-08-16 00:00:00,-32.35417,115.60417,0.001168
2018-09-16 00:00:00,-32.35417,115.60417,0.000662
2018-10-16 00:00:00,-32.35417,115.60417,0.000342
2018-11-16 00:00:00,-32.35417,115.60417,0.0004
2018-12-16 00:00:00,-32.35417,115.60417,0.000294
2019-01-16 00:00:00,-32.35417,115.60417,0.000264
2019-02-16 00:00:00,-32.35417,115.60417,4.2e-05
2019-03-16 00:00:00,-32.35417,115.60417,7.4e-05
2019-04-16 00:00:00,-32.35417,115.60417,0.000214
2019-05-16 00:00:00,-32.35417,115.60417,0.000152
2019-06-16 00:00:00,-32.35417,115.60417,0.000172
2019-07-16 00:00:00,-32.35417,115.60417,0.000272
2019-08-16 00:00:00,-32.35417,115.60417,0.00028
2019-09-16 00:00:00,-32.35417,115.60417,0.000544
2019-10-16 00:00:00,-32.35417,115.60417,0.000708
2019-11-16 00:00:00,-32.35417,115.60417,0.000946
2019-12-16 00:00:00,-32.35417,115.60417,0.000142
2020-01-16 00:00:00,-32.35417,115.60417,0.000222
2020-02-16 00:00:00,-32.35417,115.60417,1.4e-05
2020-03-16 00:00:00,-32.35417,115.60417,1.6e-05
2020-04-16 00:00:00,-32.35417,115.60417,0.000432
2020-05-16 00:00:00,-32.35417,115.60417,0.000962
2020-06-16 00:00:00,-32.35417,115.60417,0.002572
2020-07-16 00:00:00,-32.35417,115.60417,0.000482
2020-08-16 00:00:00,-32.35417,115.60417,0.00026
2020-09-16 00:00:00,-32.35417,115.60417,0.000846
2020-10-16 00:00:00,-32.35417,115.60417,0.000968
2020-11-16 00:00:00,-32.35417,115.60417,0.00018
2020-12-16 00:00:00,-32.35417,115.60417,0.00016
2021-01-16 00:00:00,-32.35417,115.60417,8e-05
2021-02-16 00:00:00,-32.35417,115.60417,0.00013
2021-03-16 00:00:00,-32.35417,115.60417,2.4e-05
2021-04-16 00:00:00,-32.35417,115.60417,0.000288
2021-05-16 00:00:00,-32.35417,115.60417,0.000316
2021-06-16 00:00:00,-32.35417,115.60417,0.00073
2021-07-16 00:00:00,-32.35417,115.60417,0.000802
2021-08-16 00:00:00,-32.35417,115.60417,0.001698
2021-09-16 00:00:00,-32.35417,115.60417,0.00043
2021-10-16 00:00:00,-32.35417,115.60417,0.001228
2021-11-16 00:00:00,-32.35417,115.60417,0.000404
2021-12-16 00:00:00,-32.35417,115.60417,0.00014
2022-01-16 00:00:00,-32.35417,115.60417,7.2e-05
2022-02-16 00:00:00,-32.35417,115.60417,5.6e-05
2022-03-16 00:00:00,-32.35417,115.60417,7.6e-05
2022-03-16 00:00:00,-32.35417,115.60417,5.4e-05
2022-04-16 00:00:00,-32.35417,115.60417,0.000212
2022-04-16 00:00:00,-32.35417,115.60417,0.000226
2022-05-16 00:00:00,-32.35417,115.60417,0.000578
2022-05-16 00:00:00,-32.35417,115.60417,0.00067
2022-06-16 00:00:00,-32.35417,115.60417,0.00033
2022-07-16 00:00:00,-32.35417,115.60417,0.000474
2022-08-16 00:00:00,-32.35417,115.60417,0.001496
2022-09-16 00:00:00,-32.35417,115.60417,0.000858
2022-10-16 00:00:00,-32.35417,115.60417,0.00039
2022-11-16 00:00:00,-32.35417,115.60417,0.00055
2022-12-16 00:00:00,-32.35417,115.60417,0.00016
2023-01-16 00:00:00,-32.35417,115.60417,0.000228
2023-02-16 00:00:00,-32.35417,115.60417,7e-05
2023-03-16 00:00:00,-32.35417,115.60417,2.4e-05
2023-04-16 00:00:00,-32.35417,115.60417,0.000374
2023-05-16 00:00:00,-32.35417,115.60417,0.00013
2023-06-16 00:00:00,-32.35417,115.60417,0.000396
2023-07-16 00:00:00,-32.35417,115.60417,0.000738
2023-08-16 00:00:00,-32.35417,115.60417,0.000346
2023-09-16 00:00:00,-32.35417,115.60417,0.00184
2023-10-16 00:00:00,-32.35417,115.60417,0.000858
