time,latitude,longitude,npp,zooc
1998-08-06,-31.75,115.66667,1241.9248,2.1760788
1998-08-07,-31.75,115.66667,1337.0654,1.8986511
1998-08-08,-31.75,115.66667,1456.2812,1.7975082
1998-08-09,-31.75,115.66667,1474.1055,1.7079163
1998-08-10,-31.75,115.66667,800.0171,1.8292923
1998-08-11,-31.75,115.66667,1200.0259,0.7773819
1998-08-12,-31.75,115.66667,1462.9941,0.43348694
1998-08-13,-31.75,115.66667,1177.1084,0.24853516
1998-08-14,-31.75,115.66667,1381.0479,0.46816254
1998-08-15,-31.75,115.66667,1280.1201,3.2684555
1998-08-16,-31.75,115.66667,1428.9658,4.779854
1998-08-17,-31.75,115.66667,981.271,4.418625
1998-08-18,-31.75,115.66667,938.9092,4.4764175
1998-08-19,-31.75,115.66667,854.8794,1.5200806
1998-08-20,-31.75,115.66667,1222.9429,1.4015961
1998-08-21,-31.75,115.66667,1928.9766,1.2628784
1998-08-22,-31.75,115.66667,1402.1133,1.647232
1998-08-23,-31.75,115.66667,1658.832,1.6847992
1998-08-24,-31.75,115.66667,1352.1123,3.251114
1998-08-25,-31.75,115.66667,2049.8125,3.9591293
1998-08-26,-31.75,115.66667,1396.0947,3.0170364
1998-08-27,-31.75,115.66667,428.01855,3.9475708
1998-08-28,-31.75,115.66667,1237.9893,4.707611
1998-08-29,-31.75,115.66667,1047.939,3.2626724
1998-08-30,-31.75,115.66667,1021.78125,3.3782654
1998-08-31,-31.75,115.66667,1015.7627,2.4043808
1998-09-01,-31.75,115.66667,952.79834,2.335022
1998-09-02,-31.75,115.66667,1322.019,3.2048721
1998-09-03,-31.75,115.66667,1270.8604,0.88430786
1998-09-04,-31.75,115.66667,1538.9219,1.288887
1998-09-05,-31.75,115.66667,1636.146,1.0403595
1998-09-06,-31.75,115.66667,1570.8672,0.74848175
1998-09-07,-31.75,115.66667,1570.8672,1.8726425
1998-09-08,-31.75,115.66667,1692.8604,3.6528015
1998-09-09,-31.75,115.66667,1689.8511,4.6469193
1998-09-10,-31.75,115.66667,1533.1348,3.5892258
1998-09-11,-31.75,115.66667,1325.0283,1.4882889
1998-09-12,-31.75,115.66667,1139.8394,0.72247314
1998-09-13,-31.75,115.66667,1513.227,1.3726959
1998-09-14,-31.75,115.66667,1520.8657,2.0373688
1998-09-15,-31.75,115.66667,1735.917,1.6876907
1998-09-16,-31.75,115.66667,1691.9346,1.6530151
1998-09-17,-31.75,115.66667,1609.062,1.4882889
1998-09-18,-31.75,115.66667,1640.0815,1.875534
1998-09-19,-31.75,115.66667,1719.0181,2.112503
1998-09-20,-31.75,115.66667,1710.916,2.9245605
1998-09-21,-31.75,115.66667,1062.0596,4.8665543
1998-09-22,-31.75,115.66667,1328.0376,1.7512665
1998-09-23,-31.75,115.66667,1778.0474,2.8436432
1998-09-24,-31.75,115.66667,1735.2222,2.829193
