SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7500,36.2258,24.8458,3.8000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7400,36.2339,24.8547,4.3000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7500,36.2254,24.8456,5.0000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7400,36.2334,24.8544,5.6000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7300,36.2569,24.8751,6.5000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7300,36.2567,24.8750,7.2000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7300,36.2721,24.8866,7.7000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7300,36.2562,24.8745,8.5000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7200,36.2799,24.8954,9.1000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7300,36.2715,24.8861,9.5000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7200,36.2797,24.8951,9.7000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7200,36.2640,24.8833,10.1000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7200,36.2795,24.8950,10.2000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7200,36.2793,24.8949,10.9000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7200,36.2800,24.8900,11.2000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2758,24.9930,2.4000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2757,24.9929,2.7000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2598,24.9810,3.4000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2595,24.9807,4.3000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2593,24.9806,4.9000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2592,24.9805,5.3000,  NaN,  NaN
V1A,PERTH NORTH,     92071,19920311 00:00:00,375662.0000,6474446.0000,-31.858933,115.685702,22.3700,36.2590,24.9802,6.0000,  NaN,  NaN
